url,num_sentences,num_words,num_nouns,num_verbs,num_adjectives
https://search.cdc.gov/search/?query=heart%20disease&dpage=82,1,5,0,0,0
https://search.cdc.gov/search/?query=heart%20disease&dpage=83,2,36,15,3,3
https://search.cdc.gov/search/?query=heart%20disease&dpage=84,2,43,11,5,4
https://search.cdc.gov/search/?query=heart%20disease&dpage=85,1,5,0,0,0
https://search.cdc.gov/search/?query=heart%20disease&dpage=86,3,40,15,1,8
https://search.cdc.gov/search/?query=heart%20disease&dpage=87,1,36,8,4,5
https://search.cdc.gov/search/?query=heart%20disease&dpage=88,2,48,14,3,4
https://search.cdc.gov/search/?query=heart%20disease&dpage=89,2,40,9,3,4
https://search.cdc.gov/search/?query=heart%20disease&dpage=90,3,41,2,0,5
https://search.cdc.gov/search/?query=heart%20disease&dpage=91,1,5,0,0,0
https://search.cdc.gov/search/?query=heart%20disease&dpage=92,1,32,0,2,0
https://search.cdc.gov/search/?query=heart%20disease&dpage=93,1,15,2,3,2
https://search.cdc.gov/search/?query=heart%20disease&dpage=94,3,36,8,4,4
https://search.cdc.gov/search/?query=heart%20disease&dpage=95,1,5,0,0,0
https://search.cdc.gov/search/?query=heart%20disease&dpage=96,1,38,2,2,0
https://search.cdc.gov/search/?query=heart%20disease&dpage=97,2,24,4,2,2
https://search.cdc.gov/search/?query=heart%20disease&dpage=98,1,19,8,3,0
https://search.cdc.gov/search/?query=heart%20disease&dpage=99,2,43,11,5,4
https://search.cdc.gov/search/?query=heart%20disease&dpage=100,7,45,10,2,1
